Codigo	year	tipo_concurso	edad
1050480	2005	REGULAR	61
1851193	1985	REGULAR	37
1841221	1984	REGULAR	34
1911045	1991	REGULAR	44
1901298	1990	REGULAR	42
1841089	1984	REGULAR	33
1940691	1994	REGULAR	42
1820653	1982	REGULAR	37
1841088	1984	REGULAR	46
1870208	1987	REGULAR	41
1870510	1987	REGULAR	39
1960440	1996	REGULAR	34
1890797	1989	REGULAR	40
1841187	1984	REGULAR	39
1940035	1994	REGULAR	41
1930988	1993	REGULAR	46
1890524	1989	REGULAR	41
1931136	1993	REGULAR	47
1855041	1985	REGULAR	39
1851137	1985	REGULAR	39
1870455	1987	REGULAR	39
1900936	1990	REGULAR	41
1890296	1989	REGULAR	37
1930563	1993	REGULAR	37
1820645	1982	REGULAR	31
1900142	1990	REGULAR	41
1850506	1985	REGULAR	29
1960879	1996	REGULAR	46
1831017	1983	REGULAR	43
1855034	1985	REGULAR	36
1940544	1994	REGULAR	44
1890895	1989	REGULAR	40
1040475	2004	REGULAR	51
1901116	1990	REGULAR	39
1981064	1998	REGULAR	45
1870030	1987	REGULAR	37
1931053	1993	REGULAR	42
1870153	1987	REGULAR	40
1901103	1990	REGULAR	39
1980721	1998	REGULAR	47
1855001	1985	REGULAR	36
1950270	1995	REGULAR	46
1880448	1988	REGULAR	30
1841005	1984	REGULAR	39
1900051	1990	REGULAR	37
1880347	1988	REGULAR	34
1841195	1984	REGULAR	34
1940408	1994	REGULAR	46
1861505	1986	REGULAR	38
1855086	1985	REGULAR	31
1890830	1989	REGULAR	39
1855088	1985	REGULAR	29
1855063	1985	REGULAR	35
1901001	1990	REGULAR	38
1901115	1990	REGULAR	42
1960864	1996	REGULAR	47
1000879	2000	REGULAR	38
1870624	1987	REGULAR	37
1861424	1986	REGULAR	38
1831119	1983	REGULAR	32
1901268	1990	REGULAR	41
1901201	1990	REGULAR	49
1890569	1989	REGULAR	35
1000695	2000	REGULAR	50
1865011	1986	REGULAR	32
1080267	2008	REGULAR	57
1870605	1987	REGULAR	36
1861468	1986	REGULAR	37
1980852	1998	REGULAR	44
1940902	1994	REGULAR	41
1940847	1994	REGULAR	43
1880454	1988	REGULAR	33
1991016	1999	REGULAR	39
1071079	2007	REGULAR	46
1870623	1987	REGULAR	36
1950687	1995	REGULAR	36
1855032	1985	REGULAR	33
1930816	1993	REGULAR	41
1855093	1985	REGULAR	29
1911096	1991	REGULAR	41
1851177	1985	REGULAR	35
1090160	2009	REGULAR	49
1900619	1990	REGULAR	37
1870725	1987	REGULAR	35
1900718	1990	REGULAR	39
1970633	1997	REGULAR	46
1855094	1985	REGULAR	30
1040295	2004	REGULAR	48
1865043	1986	REGULAR	33
1855035	1985	REGULAR	33
1981018	1998	REGULAR	40
1971228	1997	REGULAR	40
1990333	1999	REGULAR	46
1040880	2004	REGULAR	50
1872025	1987	REGULAR	34
1865058	1986	REGULAR	32
1865057	1986	REGULAR	34
1981073	1998	REGULAR	47
1950909	1995	REGULAR	39
1010246	2001	REGULAR	42
1950417	1995	REGULAR	41
1961233	1996	REGULAR	40
1841050	1984	REGULAR	31
1930690	1993	REGULAR	37
1950917	1995	REGULAR	40
1890642	1989	REGULAR	35
1040892	2004	REGULAR	50
1900854	1990	REGULAR	37
1910748	1991	REGULAR	35
1080220	2008	REGULAR	51
1030346	2003	REGULAR	41
1120213	2012	REGULAR	54
1901186	1990	REGULAR	34
1060841	2006	REGULAR	48
1921133	1992	REGULAR	36
1950997	1995	REGULAR	39
1950225	1995	REGULAR	41
1970456	1997	REGULAR	44
1120528	2012	REGULAR	55
1030285	2003	REGULAR	46
1981184	1998	REGULAR	38
1970162	1997	REGULAR	39
1870187	1987	REGULAR	32
1051045	2005	REGULAR	49
1960744	1996	REGULAR	41
1910838	1991	REGULAR	33
1900824	1990	REGULAR	31
1100209	2010	REGULAR	47
1080252	2008	REGULAR	37
1855092	1985	REGULAR	26
1940169	1994	REGULAR	37
1010146	2001	REGULAR	40
1020902	2002	REGULAR	36
1040390	2004	REGULAR	45
1930082	1993	REGULAR	38
1910757	1991	REGULAR	32
1950650	1995	REGULAR	36
1970121	1997	REGULAR	36
1990710	1999	REGULAR	41
1961208	1996	REGULAR	38
1890778	1989	REGULAR	33
1921065	1992	REGULAR	33
1991008	1999	REGULAR	39
1940322	1994	REGULAR	34
1970595	1997	REGULAR	41
1040083	2004	REGULAR	36
1010954	2001	REGULAR	39
1990045	1999	REGULAR	41
1960171	1996	REGULAR	36
1095155	2009	REGULAR	39
1050037	2005	REGULAR	42
1960302	1996	REGULAR	38
1130132	2013	REGULAR	41
1970916	1997	REGULAR	39
1950272	1995	REGULAR	35
1980262	1998	REGULAR	36
1061074	2006	REGULAR	44
1010270	2001	REGULAR	44
1050054	2005	REGULAR	47
1870477	1987	REGULAR	26
1941132	1994	REGULAR	35
1010185	2001	REGULAR	37
1940231	1994	REGULAR	32
1950437	1995	REGULAR	34
1120868	2012	REGULAR	40
1940571	1994	REGULAR	33
1961297	1996	REGULAR	35
1960352	1996	REGULAR	36
1050384	2005	REGULAR	44
1130225	2013	REGULAR	48
1120397	2012	REGULAR	38
1080449	2008	REGULAR	33
1110172	2011	REGULAR	41
1130444	2013	REGULAR	54
1130862	2013	REGULAR	40
1865039	1986	REGULAR	26
1070559	2007	REGULAR	40
1990600	1999	REGULAR	36
1000567	2000	REGULAR	34
1070462	2007	REGULAR	42
1940892	1994	REGULAR	56
1030220	2003	REGULAR	43
1130724	2013	REGULAR	36
1130824	2013	REGULAR	38
1040481	2004	REGULAR	40
1100850	2010	REGULAR	45
1980130	1998	REGULAR	34
1000722	2000	REGULAR	37
1981069	1998	REGULAR	36
1130838	2013	REGULAR	50
1040306	2004	REGULAR	36
1971077	1997	REGULAR	33
1930080	1993	REGULAR	30
1040800	2004	REGULAR	39
1131038	2013	REGULAR	39
1040697	2004	REGULAR	43
1060962	2006	REGULAR	44
1120746	2012	REGULAR	43
1000354	2000	REGULAR	38
1020648	2002	REGULAR	39
1940367	1994	REGULAR	32
1000885	2000	REGULAR	36
1990808	1999	REGULAR	35
1050476	2005	REGULAR	41
1880326	1988	REGULAR	37
1000824	2000	REGULAR	38
1050097	2005	REGULAR	40
1080630	2008	REGULAR	45
1120286	2012	REGULAR	42
1120256	2012	REGULAR	36
1120766	2012	REGULAR	37
1061143	2006	REGULAR	40
1010959	2001	REGULAR	30
1120086	2012	REGULAR	43
1000668	2000	REGULAR	31
1120697	2012	REGULAR	35
1120651	2012	REGULAR	45
1040782	2004	REGULAR	39
1100245	2010	REGULAR	45
1990040	1999	REGULAR	33
1120240	2012	REGULAR	38
1070444	2007	REGULAR	31
1090513	2009	REGULAR	36
1060655	2006	REGULAR	39
1060077	2006	REGULAR	37
1080649	2008	REGULAR	38
1040254	2004	REGULAR	36
1100965	2010	REGULAR	39
1100515	2010	REGULAR	36
1050433	2005	REGULAR	39
1040197	2004	REGULAR	37
1120030	2012	REGULAR	38
1060457	2006	REGULAR	35
1100200	2010	REGULAR	41
1040799	2004	REGULAR	34
1085051	2008	REGULAR	42
1110821	2011	REGULAR	43
1050104	2005	REGULAR	37
1095114	2009	REGULAR	33
1060772	2006	REGULAR	38
1120132	2012	REGULAR	44
1050389	2005	REGULAR	39
1050272	2005	REGULAR	38
1100366	2010	REGULAR	39
1060441	2006	REGULAR	37
1040349	2004	REGULAR	34
1100326	2010	REGULAR	40
1110569	2011	REGULAR	32
1100983	2010	REGULAR	39
1060040	2006	REGULAR	47
1050857	2005	REGULAR	37
1120289	2012	REGULAR	43
1090270	2009	REGULAR	39
1030481	2003	REGULAR	33
1040443	2004	REGULAR	34
1030557	2003	REGULAR	33
1130652	2013	REGULAR	43
1080308	2008	REGULAR	38
1121121	2012	REGULAR	41
1100569	2010	REGULAR	39
1061121	2006	REGULAR	35
1100995	2010	REGULAR	39
1130333	2013	REGULAR	42
1070614	2007	REGULAR	35
1120464	2012	REGULAR	40
1100027	2010	REGULAR	38
1085092	2008	REGULAR	36
1130904	2013	REGULAR	38
1865016	1986	REGULAR	28
1120663	2012	REGULAR	43
1100795	2010	REGULAR	57
1100896	2010	REGULAR	38
1120833	2012	REGULAR	40
1131004	2013	REGULAR	40
1110734	2011	REGULAR	38
1110906	2011	REGULAR	37
1130614	2013	REGULAR	39
1130631	2013	REGULAR	39
1070377	2007	REGULAR	32
1110604	2011	REGULAR	36
1120253	2012	REGULAR	37
1130747	2013	REGULAR	38
1120222	2012	REGULAR	37
1120443	2012	REGULAR	36
1120214	2012	REGULAR	36
1120424	2012	REGULAR	35
1120809	2012	REGULAR	35
1110364	2011	REGULAR	33
1130074	2013	REGULAR	34
1110953	2011	REGULAR	31
1130852	2013	REGULAR	35
1060843	2006	REGULAR	39
1080523	2008	REGULAR	42
1951007	1995	REGULAR	48
1950560	1995	REGULAR	49
1121170	2012	REGULAR	35
1110723	2011	REGULAR	40
1040676	2004	REGULAR	36
1070494	2007	REGULAR	35
1090343	2009	REGULAR	39
1990893	1999	REGULAR	43
1120802	2012	REGULAR	47
1990914	1999	REGULAR	40
1000812	2000	REGULAR	31
1100887	2010	REGULAR	36
1020715	2002	REGULAR	33
1120209	2012	REGULAR	40
1100756	2010	REGULAR	34
1110369	2011	REGULAR	36
1130341	2013	REGULAR	43
1060890	2006	REGULAR	38
1050571	2005	REGULAR	38
1080021	2008	REGULAR	33
1080504	2008	REGULAR	68
1071071	2007	REGULAR	44
1110925	2011	REGULAR	38
1121159	2012	REGULAR	36
1120923	2012	REGULAR	49
1131065	2013	REGULAR	34
1121148	2012	REGULAR	46
1970808	1997	REGULAR	42
3110113	2011	POSTDOCTORADO	38
3140422	2014	POSTDOCTORADO	32
3140032	2014	POSTDOCTORADO	28
3140153	2014	POSTDOCTORADO	38
3140233	2014	POSTDOCTORADO	27
3970014	1997	POSTDOCTORADO	35
3930013	1993	POSTDOCTORADO	31
3930011	1993	POSTDOCTORADO	37
3970017	1997	POSTDOCTORADO	31
3910016	1991	POSTDOCTORADO	34
3950015	1995	POSTDOCTORADO	32
3970025	1997	POSTDOCTORADO	34
3950027	1995	POSTDOCTORADO	35
3950029	1995	POSTDOCTORADO	38
3000024	2000	POSTDOCTORADO	36
3070051	2007	POSTDOCTORADO	35
3910011	1991	POSTDOCTORADO	31
3130411	2013	POSTDOCTORADO	40
3050052	2005	POSTDOCTORADO	36
3990007	1999	POSTDOCTORADO	32
3060094	2006	POSTDOCTORADO	33
3990038	1999	POSTDOCTORADO	36
3030066	2003	POSTDOCTORADO	38
3000007	2000	POSTDOCTORADO	33
3130441	2013	POSTDOCTORADO	39
3940018	1994	POSTDOCTORADO	30
3960004	1996	POSTDOCTORADO	36
3090066	2009	POSTDOCTORADO	33
3000030	2000	POSTDOCTORADO	33
3070017	2007	POSTDOCTORADO	34
3120149	2012	POSTDOCTORADO	38
3100099	2010	POSTDOCTORADO	36
3080016	2008	POSTDOCTORADO	32
3970030	1997	POSTDOCTORADO	35
3970009	1997	POSTDOCTORADO	35
3000045	2000	POSTDOCTORADO	36
3100076	2010	POSTDOCTORADO	35
3140491	2014	POSTDOCTORADO	34
3000042	2000	POSTDOCTORADO	35
3085017	2008	POSTDOCTORADO	34
3980022	1998	POSTDOCTORADO	27
3130509	2013	POSTDOCTORADO	37
3990016	1999	POSTDOCTORADO	32
3980039	1998	POSTDOCTORADO	33
3930010	1993	POSTDOCTORADO	28
3980017	1998	POSTDOCTORADO	32
3010028	2001	POSTDOCTORADO	36
3040069	2004	POSTDOCTORADO	36
3140324	2014	POSTDOCTORADO	35
3100077	2010	POSTDOCTORADO	34
3980019	1998	POSTDOCTORADO	31
3010040	2001	POSTDOCTORADO	31
3130593	2013	POSTDOCTORADO	33
3140005	2014	POSTDOCTORADO	38
3070018	2007	POSTDOCTORADO	31
3050037	2005	POSTDOCTORADO	37
3130582	2013	POSTDOCTORADO	37
3090019	2009	POSTDOCTORADO	36
3050042	2005	POSTDOCTORADO	34
3070045	2007	POSTDOCTORADO	37
3010065	2001	POSTDOCTORADO	32
3010060	2001	POSTDOCTORADO	42
3085027	2008	POSTDOCTORADO	35
3130632	2013	POSTDOCTORADO	46
3080053	2008	POSTDOCTORADO	36
3090030	2009	POSTDOCTORADO	34
3080046	2008	POSTDOCTORADO	35
3130555	2013	POSTDOCTORADO	33
3120242	2012	POSTDOCTORADO	37
3070035	2007	POSTDOCTORADO	35
3130374	2013	POSTDOCTORADO	41
3060026	2006	POSTDOCTORADO	34
3140418	2014	POSTDOCTORADO	41
3085023	2008	POSTDOCTORADO	35
3090062	2009	POSTDOCTORADO	35
3110107	2011	POSTDOCTORADO	36
3060041	2006	POSTDOCTORADO	31
3120001	2012	POSTDOCTORADO	37
3140328	2014	POSTDOCTORADO	39
3120185	2012	POSTDOCTORADO	37
3090051	2009	POSTDOCTORADO	34
3040057	2004	POSTDOCTORADO	29
3130523	2013	POSTDOCTORADO	39
3100033	2010	POSTDOCTORADO	35
3110016	2011	POSTDOCTORADO	35
3120195	2012	POSTDOCTORADO	36
3095007	2009	POSTDOCTORADO	33
3140480	2014	POSTDOCTORADO	38
3100049	2010	POSTDOCTORADO	34
3095010	2009	POSTDOCTORADO	33
3070015	2007	POSTDOCTORADO	31
3110147	2011	POSTDOCTORADO	35
3120118	2012	POSTDOCTORADO	36
3060100	2006	POSTDOCTORADO	30
3130759	2013	POSTDOCTORADO	36
3120093	2012	POSTDOCTORADO	35
3120032	2012	POSTDOCTORADO	35
3130749	2013	POSTDOCTORADO	36
3100091	2010	POSTDOCTORADO	34
3130683	2013	POSTDOCTORADO	36
3140473	2014	POSTDOCTORADO	36
3140330	2014	POSTDOCTORADO	36
3120159	2012	POSTDOCTORADO	34
3120006	2012	POSTDOCTORADO	34
3100045	2010	POSTDOCTORADO	32
3100036	2010	POSTDOCTORADO	32
3120107	2012	POSTDOCTORADO	35
3095013	2009	POSTDOCTORADO	31
3120220	2012	POSTDOCTORADO	34
3110114	2011	POSTDOCTORADO	33
3130681	2013	POSTDOCTORADO	36
3130385	2013	POSTDOCTORADO	35
3140599	2014	POSTDOCTORADO	35
3110127	2011	POSTDOCTORADO	32
3110157	2011	POSTDOCTORADO	32
3110138	2011	POSTDOCTORADO	32
3140471	2014	POSTDOCTORADO	35
3130762	2013	POSTDOCTORADO	34
3130334	2013	POSTDOCTORADO	34
3140414	2014	POSTDOCTORADO	35
3100112	2010	POSTDOCTORADO	31
3140083	2014	POSTDOCTORADO	35
3100090	2010	POSTDOCTORADO	31
3085021	2008	POSTDOCTORADO	29
3130577	2013	POSTDOCTORADO	34
3120013	2012	POSTDOCTORADO	33
3130573	2013	POSTDOCTORADO	33
3130610	2013	POSTDOCTORADO	33
3140475	2014	POSTDOCTORADO	34
3140446	2014	POSTDOCTORADO	36
3130757	2013	POSTDOCTORADO	42
3100040	2010	POSTDOCTORADO	30
3120049	2012	POSTDOCTORADO	31
3130316	2013	POSTDOCTORADO	32
3120146	2012	POSTDOCTORADO	31
3130376	2013	POSTDOCTORADO	32
3140006	2014	POSTDOCTORADO	33
3120142	2012	POSTDOCTORADO	31
3130662	2013	POSTDOCTORADO	32
3120047	2012	POSTDOCTORADO	31
3130365	2013	POSTDOCTORADO	32
3120175	2012	POSTDOCTORADO	31
3140323	2014	POSTDOCTORADO	33
3110129	2011	POSTDOCTORADO	37
3060082	2006	POSTDOCTORADO	31
3140217	2014	POSTDOCTORADO	35
3100039	2010	POSTDOCTORADO	31
3070043	2007	POSTDOCTORADO	33
3085006	2008	POSTDOCTORADO	34
3980043	1998	POSTDOCTORADO	33
3950003	1995	POSTDOCTORADO	30
3020007	2002	POSTDOCTORADO	31
3960002	1996	POSTDOCTORADO	28
3980028	1998	POSTDOCTORADO	30
3030073	2003	POSTDOCTORADO	33
3010061	2001	POSTDOCTORADO	33
3140007	2014	POSTDOCTORADO	41
3085029	2008	POSTDOCTORADO	39
3130449	2013	POSTDOCTORADO	31
3140003	2014	POSTDOCTORADO	33
3140590	2014	POSTDOCTORADO	32
3140531	2014	POSTDOCTORADO	32
3130539	2013	POSTDOCTORADO	31
3140406	2014	POSTDOCTORADO	32
3140391	2014	POSTDOCTORADO	32
3130410	2013	POSTDOCTORADO	31
3140374	2014	POSTDOCTORADO	32
3140408	2014	POSTDOCTORADO	32
3110052	2011	POSTDOCTORADO	30
3140460	2014	POSTDOCTORADO	32
3120007	2012	POSTDOCTORADO	31
3130657	2013	POSTDOCTORADO	31
3140336	2014	POSTDOCTORADO	32
3140458	2014	POSTDOCTORADO	31
3130739	2013	POSTDOCTORADO	30
3140455	2014	POSTDOCTORADO	30
3130635	2013	POSTDOCTORADO	30
3140496	2014	POSTDOCTORADO	31
3140357	2014	POSTDOCTORADO	31
3140033	2014	POSTDOCTORADO	30
3140463	2014	POSTDOCTORADO	30
3140191	2014	POSTDOCTORADO	30
3140288	2014	POSTDOCTORADO	29
3140031	2014	POSTDOCTORADO	29
3070036	2007	POSTDOCTORADO	31
3140415	2014	POSTDOCTORADO	29
3130598	2013	POSTDOCTORADO	37
3110015	2011	POSTDOCTORADO	37
3030065	2003	POSTDOCTORADO	35
3095008	2009	POSTDOCTORADO	36
3100151	2010	POSTDOCTORADO	33
3110171	2011	POSTDOCTORADO	36
3110140	2011	POSTDOCTORADO	36
3060003	2006	POSTDOCTORADO	36
3120139	2012	POSTDOCTORADO	33
3110094	2011	POSTDOCTORADO	32
3080022	2008	POSTDOCTORADO	36
3060063	2006	POSTDOCTORADO	31
3120015	2012	POSTDOCTORADO	28
3140110	2014	POSTDOCTORADO	37
3085025	2008	POSTDOCTORADO	31
3095001	2009	POSTDOCTORADO	32
3100069	2010	POSTDOCTORADO	34
3120158	2012	POSTDOCTORADO	34
3110014	2011	POSTDOCTORADO	30
3130638	2013	POSTDOCTORADO	34
3110128	2011	POSTDOCTORADO	31
3110067	2011	POSTDOCTORADO	32
3110009	2011	POSTDOCTORADO	32
3120085	2012	POSTDOCTORADO	34
3120073	2012	POSTDOCTORADO	32
3130351	2013	POSTDOCTORADO	32
3120221	2012	POSTDOCTORADO	31
3130315	2013	POSTDOCTORADO	32
3130527	2013	POSTDOCTORADO	29
3140194	2014	POSTDOCTORADO	35
11130203	2013	INICIACION	35
11060285	2006	INICIACION	48
11090324	2009	INICIACION	40
11090308	2009	INICIACION	36
11110534	2011	INICIACION	39
11070067	2007	INICIACION	43
11060289	2006	INICIACION	41
11080220	2008	INICIACION	47
11110012	2011	INICIACION	38
11110414	2011	INICIACION	37
11110050	2011	INICIACION	37
11085045	2008	INICIACION	39
11100454	2010	INICIACION	34
11070065	2007	INICIACION	33
11121524	2012	INICIACION	38
11110284	2011	INICIACION	36
11080033	2008	INICIACION	32
11080037	2008	INICIACION	33
11060513	2006	INICIACION	39
11130117	2013	INICIACION	48
11090265	2009	INICIACION	41
11080019	2008	INICIACION	34
11121478	2012	INICIACION	36
11070192	2007	INICIACION	41
11121200	2012	INICIACION	36
11121266	2012	INICIACION	32
11070116	2007	INICIACION	39
11070255	2007	INICIACION	39
11121518	2012	INICIACION	39
11130498	2013	INICIACION	36
11060181	2006	INICIACION	37
11090182	2009	INICIACION	40
11100348	2010	INICIACION	41
11080240	2008	INICIACION	39
11080226	2008	INICIACION	37
11121367	2012	INICIACION	41
11080187	2008	INICIACION	37
11060157	2006	INICIACION	35
11080067	2008	INICIACION	36
11110182	2011	INICIACION	31
11130424	2013	INICIACION	42
11070069	2007	INICIACION	38
11060072	2006	INICIACION	38
11130201	2013	INICIACION	41
11060003	2006	INICIACION	34
11080145	2008	INICIACION	35
11100053	2010	INICIACION	37
11070177	2007	INICIACION	34
11121358	2012	INICIACION	39
11130347	2013	INICIACION	41
11070190	2007	INICIACION	33
11090059	2009	INICIACION	35
11080212	2008	INICIACION	34
11130387	2013	INICIACION	39
11100236	2010	INICIACION	36
11121554	2012	INICIACION	37
11100413	2010	INICIACION	35
11060180	2006	INICIACION	31
11130241	2013	INICIACION	38
11080206	2008	INICIACION	34
11075060	2007	INICIACION	32
11090274	2009	INICIACION	34
11100456	2010	INICIACION	35
11100433	2010	INICIACION	35
11100267	2010	INICIACION	35
11090091	2009	INICIACION	34
11110505	2011	INICIACION	36
11121302	2012	INICIACION	36
11130402	2013	INICIACION	37
11100287	2010	INICIACION	34
11121449	2012	INICIACION	36
11100414	2010	INICIACION	34
11110077	2011	INICIACION	35
11080061	2008	INICIACION	32
11110525	2011	INICIACION	35
11080174	2008	INICIACION	32
11080144	2008	INICIACION	32
11080258	2008	INICIACION	31
11080180	2008	INICIACION	31
11110434	2011	INICIACION	34
11100443	2010	INICIACION	34
11121217	2012	INICIACION	35
11130529	2013	INICIACION	36
11130381	2013	INICIACION	35
11130229	2013	INICIACION	35
11130013	2013	INICIACION	35
11130567	2013	INICIACION	35
11130576	2013	INICIACION	35
11121387	2012	INICIACION	34
11130148	2013	INICIACION	36
11110216	2011	INICIACION	33
11110106	2011	INICIACION	33
11130285	2013	INICIACION	35
11130564	2013	INICIACION	35
11100047	2010	INICIACION	32
11121225	2012	INICIACION	33
11130584	2013	INICIACION	34
11121239	2012	INICIACION	33
11121411	2012	INICIACION	33
11100142	2010	INICIACION	31
11080228	2008	INICIACION	28
11121206	2012	INICIACION	32
11121571	2012	INICIACION	37
11121497	2012	INICIACION	32
11121306	2012	INICIACION	32
11121575	2012	INICIACION	36
11121339	2012	INICIACION	31
11110181	2011	INICIACION	30
11130578	2013	INICIACION	32
11130231	2013	INICIACION	39
11110217	2011	INICIACION	36
11121506	2012	INICIACION	34
11110136	2011	INICIACION	37
11080281	2008	INICIACION	34
11090292	2009	INICIACION	35
11090294	2009	INICIACION	34
11121309	2012	INICIACION	32
11090404	2009	INICIACION	40
11080290	2008	INICIACION	31
11060082	2006	INICIACION	35
11060164	2006	INICIACION	32
11070180	2007	INICIACION	35
11060231	2006	INICIACION	30
11121491	2012	INICIACION	36
11130407	2013	INICIACION	31
11130020	2013	INICIACION	30
11121133	2012	INICIACION	29
11130263	2013	INICIACION	30
11110212	2011	INICIACION	33
11110036	2011	INICIACION	39
11070051	2007	INICIACION	37
11110006	2011	INICIACION	37
11110456	2011	INICIACION	34
11060470	2006	INICIACION	32
11130192	2013	INICIACION	38
11100373	2010	INICIACION	30
11100381	2010	INICIACION	31
11110322	2011	INICIACION	34
11110083	2011	INICIACION	35
11121445	2012	INICIACION	31
11130144	2013	INICIACION	33
